DATETIME, INTERNA, EXTERNA, REFERENCIA, CONTROLE
08-09-2021-17:12:11,45.625000,30.000000,45,0
08-09-2021-17:12:15,45.625000,30.000000,45,0
08-09-2021-17:12:19,45.500000,30.000000,45,0
08-09-2021-17:12:23,45.375000,30.000000,45,0
08-09-2021-17:12:28,45.312500,30.000000,45,0
08-09-2021-17:12:32,45.187500,30.000000,45,0
08-09-2021-17:12:36,45.125000,30.000000,45,0
08-09-2021-17:12:40,45.000000,30.000000,45,0
08-09-2021-17:12:44,44.937500,30.000000,45,0
08-09-2021-17:12:48,44.875000,30.000000,45,0
08-09-2021-17:12:53,44.750000,30.000000,45,0
08-09-2021-17:12:57,44.687500,30.000000,45,0
08-09-2021-17:13:01,44.625000,30.000000,45,0
08-09-2021-17:13:05,44.437500,30.000000,45,0
08-09-2021-17:13:09,44.375000,30.000000,45,0
08-09-2021-17:13:13,44.312500,30.000000,45,0
08-09-2021-17:13:17,44.250000,30.000000,45,0
08-09-2021-17:13:22,44.187500,30.000000,45,0
08-09-2021-17:13:26,44.062500,30.000000,45,0
08-09-2021-17:13:30,43.937500,30.000000,45,0
08-09-2021-17:13:34,43.875000,30.000000,45,0
08-09-2021-17:13:38,43.750000,30.000000,45,0
08-09-2021-17:13:42,43.687500,30.000000,45,0
08-09-2021-17:13:47,43.625000,30.000000,45,0
08-09-2021-17:13:51,43.500000,30.000000,45,100
08-09-2021-17:13:55,43.500000,30.000000,45,100
08-09-2021-17:13:59,43.437500,30.000000,45,100
08-09-2021-17:14:03,43.750000,30.000000,45,100
08-09-2021-17:14:07,43.937500,30.000000,45,100
08-09-2021-17:14:12,44.562500,30.000000,45,100
08-09-2021-17:14:16,45.375000,30.000000,45,100
08-09-2021-17:14:20,45.875000,30.000000,45,100
08-09-2021-17:14:24,46.937500,30.000000,45,-100
08-09-2021-17:14:28,47.437500,30.000000,45,-100
08-09-2021-17:14:32,48.375000,30.000000,45,-100
08-09-2021-17:14:37,48.937500,30.000000,45,-100
08-09-2021-17:14:41,49.187500,30.000000,45,-100
08-09-2021-17:14:45,49.562500,30.000000,45,-100
08-09-2021-17:14:49,49.750000,30.000000,45,-100
08-09-2021-17:14:53,49.812500,30.000000,45,-100
08-09-2021-17:14:57,49.875000,30.000000,45,-100
08-09-2021-17:15:02,49.812500,30.000000,45,-100
08-09-2021-17:15:06,49.812500,30.000000,45,-100
08-09-2021-17:15:10,49.750000,30.000000,45,-100
08-09-2021-17:15:14,49.625000,30.000000,45,-100
08-09-2021-17:15:18,49.437500,30.000000,45,-100
08-09-2021-17:15:22,49.187500,30.000000,45,-100
08-09-2021-17:15:27,49.062500,30.000000,45,-100
08-09-2021-17:15:31,48.750000,30.000000,45,-100
08-09-2021-17:15:35,48.437500,30.000000,45,-100
08-09-2021-17:15:39,48.312500,30.000000,45,-100
08-09-2021-17:15:43,48.000000,30.000000,45,-100
08-09-2021-17:15:47,47.875000,30.000000,45,-100
08-09-2021-17:15:52,47.437500,30.000000,45,-100
08-09-2021-17:15:56,47.062500,30.000000,45,-100
08-09-2021-17:16:00,46.937500,30.000000,45,-100
08-09-2021-17:16:04,46.500000,30.000000,45,-100
08-09-2021-17:16:08,46.125000,30.000000,45,-100
08-09-2021-17:16:12,45.937500,30.000000,45,-100
08-09-2021-17:16:17,45.500000,30.000000,45,-100
08-09-2021-17:16:21,45.187500,30.000000,45,-100
08-09-2021-17:16:25,45.000000,30.000000,45,-100
08-09-2021-17:16:29,44.625000,30.000000,45,-100
08-09-2021-17:16:33,44.437500,30.000000,45,-100
08-09-2021-17:16:37,44.062500,30.000000,45,-100
08-09-2021-17:16:42,43.687500,30.000000,45,-100
08-09-2021-17:16:46,43.500000,30.000000,45,100
08-09-2021-17:16:50,43.187500,30.000000,45,100
08-09-2021-17:16:54,43.250000,30.000000,45,100
08-09-2021-17:16:58,43.500000,30.000000,45,100
08-09-2021-17:17:02,44.000000,30.000000,45,100
08-09-2021-17:17:07,44.375000,30.000000,45,100
08-09-2021-17:17:11,45.250000,30.000000,45,100
08-09-2021-17:17:15,46.312500,30.000000,66,100
08-09-2021-17:17:19,46.875000,30.000000,66,100
08-09-2021-17:17:23,48.125000,30.000000,66,100
08-09-2021-17:17:27,49.500000,30.000000,66,100
08-09-2021-17:17:32,50.187500,30.000000,66,100
08-09-2021-17:17:36,51.750000,30.000000,66,100
08-09-2021-17:17:40,53.312500,30.000000,66,100
08-09-2021-17:17:44,54.125000,30.000000,66,100
08-09-2021-17:17:48,55.812500,30.000000,66,100
08-09-2021-17:17:52,56.687500,30.000000,66,100
08-09-2021-17:17:57,58.375000,30.000000,66,100
08-09-2021-17:18:01,60.187500,30.000000,66,100
08-09-2021-17:18:05,61.062500,30.000000,66,100
08-09-2021-17:18:09,62.875000,30.000000,66,100
08-09-2021-17:18:13,64.687500,30.000000,66,100
08-09-2021-17:18:17,65.562500,30.000000,66,100
08-09-2021-17:18:22,67.437500,30.000000,66,100
08-09-2021-17:18:26,68.312500,30.000000,66,-100
08-09-2021-17:18:30,70.125000,30.000000,66,-100
08-09-2021-17:18:34,71.125000,30.000000,66,-100
08-09-2021-17:18:38,71.312500,30.000000,66,-100
08-09-2021-17:18:42,71.625000,30.000000,66,-100
08-09-2021-17:18:47,71.687500,30.000000,66,-100
08-09-2021-17:18:51,71.625000,30.000000,66,-100
08-09-2021-17:18:55,71.437500,30.000000,66,-100
08-09-2021-17:18:59,71.250000,30.000000,66,-100
08-09-2021-17:19:03,70.875000,30.000000,66,-100
08-09-2021-17:19:07,70.437500,30.000000,66,-100
08-09-2021-17:19:11,70.125000,30.000000,66,-100
08-09-2021-17:19:16,69.625000,30.000000,66,-100
08-09-2021-17:19:20,69.062500,30.000000,66,-100
08-09-2021-17:19:24,68.687500,30.000000,66,-100
08-09-2021-17:19:28,67.937500,30.000000,66,-100
08-09-2021-17:19:32,67.625000,30.000000,66,-100
08-09-2021-17:19:36,66.875000,30.000000,66,-100
08-09-2021-17:19:41,66.125000,30.000000,66,-100
08-09-2021-17:19:45,65.812500,30.000000,66,-100
08-09-2021-17:19:49,65.000000,30.000000,66,-100
08-09-2021-17:19:53,64.187500,30.000000,66,100
08-09-2021-17:19:57,63.812500,30.000000,66,100
08-09-2021-17:20:01,63.687500,30.000000,66,100
08-09-2021-17:20:06,63.937500,30.000000,66,100
08-09-2021-17:20:10,64.562500,30.000000,66,100
08-09-2021-17:20:14,65.312500,30.000000,66,100
08-09-2021-17:20:18,65.812500,30.000000,66,100
08-09-2021-17:20:22,66.812500,30.000000,66,100
08-09-2021-17:20:26,67.875000,30.000000,66,-100
08-09-2021-17:20:31,68.500000,30.000000,66,-100
08-09-2021-17:20:35,69.000000,30.000000,66,-100
08-09-2021-17:20:39,69.062500,30.000000,66,-100
08-09-2021-17:20:43,68.875000,30.000000,66,-100
08-09-2021-17:20:47,68.625000,30.000000,66,-100
08-09-2021-17:20:51,68.437500,30.000000,66,-100
08-09-2021-17:20:56,68.000000,30.000000,66,-100
08-09-2021-17:21:00,67.437500,30.000000,66,-100
08-09-2021-17:21:04,67.125000,30.000000,66,-100
08-09-2021-17:21:08,66.625000,30.000000,66,-100
08-09-2021-17:21:12,66.000000,30.000000,66,-100
08-09-2021-17:21:16,65.625000,30.000000,66,-100
08-09-2021-17:21:21,64.937500,30.000000,66,-100
08-09-2021-17:21:25,64.625000,30.000000,66,-100
08-09-2021-17:21:29,63.875000,30.000000,66,100
08-09-2021-17:21:33,63.250000,30.000000,66,100
08-09-2021-17:21:37,63.312500,30.000000,66,100
08-09-2021-17:21:41,63.750000,30.000000,66,100
08-09-2021-17:21:46,64.437500,30.000000,66,100
08-09-2021-17:21:50,64.875000,30.000000,66,100
08-09-2021-17:21:54,65.812500,30.000000,66,100
08-09-2021-17:21:58,66.250000,30.000000,66,100
08-09-2021-17:22:02,67.437500,30.000000,66,100
08-09-2021-17:22:06,68.625000,30.000000,66,-100
08-09-2021-17:22:11,69.250000,30.000000,66,-100
08-09-2021-17:22:15,69.875000,30.000000,66,-100
08-09-2021-17:22:19,69.875000,31.000000,66,-100
08-09-2021-17:22:23,69.812500,31.000000,66,-100
08-09-2021-17:22:27,69.500000,31.000000,74,100
08-09-2021-17:22:31,69.312500,31.000000,74,100
08-09-2021-17:22:36,69.562500,31.000000,74,100
08-09-2021-17:22:40,70.375000,31.000000,74,100
08-09-2021-17:22:44,70.875000,31.000000,74,100
