DATETIME, INTERNA, EXTERNA, REFERENCIA, CONTROLE
08-09-2021-17:26:04,73.625000,31.000000,74,0
08-09-2021-17:26:08,73.562500,31.000000,74,0
08-09-2021-17:26:12,73.500000,31.000000,74,0
08-09-2021-17:26:17,73.375000,31.000000,74,6
08-09-2021-17:26:21,73.312500,31.000000,74,5
08-09-2021-17:26:25,73.125000,31.000000,74,7
08-09-2021-17:26:29,73.000000,31.000000,74,8
08-09-2021-17:26:33,72.875000,31.000000,74,10
08-09-2021-17:26:37,72.750000,31.000000,74,12
08-09-2021-17:26:42,72.625000,31.000000,74,14
08-09-2021-17:26:46,72.500000,31.000000,74,16
08-09-2021-17:26:50,72.437500,31.000000,74,18
08-09-2021-17:26:54,72.312500,31.000000,74,20
08-09-2021-17:26:58,72.187500,31.000000,74,23
08-09-2021-17:27:02,72.187500,31.000000,74,24
08-09-2021-17:27:07,72.125000,31.000000,74,26
08-09-2021-17:27:11,72.062500,31.000000,74,29
08-09-2021-17:27:15,72.125000,31.000000,74,30
08-09-2021-17:27:19,72.125000,31.000000,74,32
08-09-2021-17:27:23,72.125000,31.000000,74,34
08-09-2021-17:27:27,72.250000,31.000000,74,34
08-09-2021-17:27:32,72.375000,31.000000,74,35
08-09-2021-17:27:36,72.437500,31.000000,74,37
08-09-2021-17:27:40,72.625000,31.000000,75,48
08-09-2021-17:27:44,72.812500,31.000000,75,44
08-09-2021-17:27:48,72.937500,31.000000,75,46
08-09-2021-17:27:52,73.250000,31.000000,75,45
08-09-2021-17:27:57,73.562500,31.000000,75,45
08-09-2021-17:28:01,73.750000,31.000000,75,46
08-09-2021-17:28:05,74.187500,31.000000,75,43
08-09-2021-17:28:09,74.375000,31.000000,75,44
08-09-2021-17:28:13,74.812500,31.000000,75,41
08-09-2021-17:28:17,75.250000,31.000000,75,38
08-09-2021-17:28:22,75.500000,31.000000,75,37
08-09-2021-17:28:26,75.937500,31.000000,75,33
08-09-2021-17:28:30,76.437500,31.000000,75,29
08-09-2021-17:28:34,76.687500,31.000000,75,27
08-09-2021-17:28:38,77.125000,31.000000,75,22
08-09-2021-17:28:42,77.375000,31.000000,75,19
08-09-2021-17:28:47,77.750000,31.000000,75,14
08-09-2021-17:28:51,78.125000,31.000000,75,9
08-09-2021-17:28:55,78.312500,31.000000,75,6
08-09-2021-17:28:59,78.562500,31.000000,75,1
08-09-2021-17:29:03,78.812500,31.000000,75,-3
08-09-2021-17:29:07,78.937500,31.000000,75,-7
08-09-2021-17:29:12,79.000000,31.000000,75,-11
08-09-2021-17:29:16,79.062500,31.000000,75,-16
08-09-2021-17:29:20,79.062500,31.000000,75,-19
08-09-2021-17:29:24,79.062500,31.000000,75,-23
08-09-2021-17:29:28,79.062500,31.000000,75,-28
08-09-2021-17:29:32,79.000000,31.000000,75,-31
08-09-2021-17:29:37,78.812500,31.000000,75,-33
08-09-2021-17:29:41,78.750000,31.000000,75,-37
08-09-2021-17:29:45,78.562500,31.000000,75,-39
08-09-2021-17:29:49,78.500000,31.000000,75,-43
08-09-2021-17:29:53,78.250000,31.000000,75,-44
08-09-2021-17:29:57,77.875000,31.000000,75,-44
08-09-2021-17:30:02,77.625000,31.000000,75,-46
08-09-2021-17:30:06,77.062500,31.000000,75,-44
08-09-2021-17:30:10,76.312500,31.000000,75,-41
08-09-2021-17:30:14,76.000000,31.000000,75,-42
